School_ID,Finance_ID,Short_Name,Long_Name,Is_High_School,Is_Middle_School,Is_Elementary_School,Is_Pre_School,Summary,Administrator_Title,Administrator,Address,City,State,Zip,Phone,Fax,CPS_School_Profile,Website,Grades_Offered_All,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Statistics_Description,Demographic_Description,School_Hours,Freshman_Start_End_Time,After_School_Hours,Classroom_Languages,Rating_Status,Open_For_Enrollment_Date
400176,63144,EXCEL SOUTHWEST HS,Excel Academy Southwest,TRUE,TRUE,FALSE,FALSE,<p>http://cameloteducation.org/excel-academy-of-southwest/</p>,Principal,Jake Benke,7050 S WASHTENAW AVE,Chicago,Illinois,60629,7734240721,7734240746,https://www.cps.edu/schools/schoolprofiles/400176,https://sesischools.com/locations/excel-academy-of-southwest,"8,9,10,11,12",151,118,29,16,105,41,0,0,0,0,0,3,2,0,There are 151 students enrolled at EXCEL SOUTHWEST HS.  78.1% are Low Income Students.  19.2% are Diverse Learners.  10.6% are Limited English Learners.,The largest demographic at EXCEL SOUTHWEST HS is Black.  This demographic makes up 69.5% of the student population.  The second greatest demographic is Hispanic at 27.2%.,8:00AM - 3:30 PM,N/A,N/A,n/a,GOOD STANDING,7/1/2014
609709,46141,GAGE PARK HS,Gage Park High School,TRUE,FALSE,FALSE,FALSE,"<p><strong>Gage Park HS Vision:</strong> By fostering a culture that celebrates our cultural differences and builds strong relationships between members of the Gage Park School Community, Gage Park High School aims to mold the minds of young people and develop their capacity to be able to serve as world citizens. Within these walls, the school community will maintain high expectations for all stakeholders.&nbsp; Reflection and data based decision making will be the driving force to actively adjust to the needs of the school community until our ambitious goals are achieved.</p>  <p>  <br />  <br />  <strong>Gage Park High School Mission</strong> is to invest in our future by working collaboratively to implement suitable programs to prepare students to excel in their future endeavors as it relates to college and technical careers.<br />  <br />  <br />  <strong>CORE &nbsp;VALUES</strong><br />  <br />  RESPECT</p>  <p>INTEGRITY</p>  <p>ACCOUNTABILITY&nbsp;</p>  <p>EXCELLENCE</p>",Principal,Anna M Taglia,5630 S ROCKWELL ST,Chicago,Illinois,60629,7735359230,7735359411,https://www.cps.edu/schools/schoolprofiles/609709,https://gageparkhs.org,"9,10,11,12",347,294,65,136,103,239,3,0,0,0,0,1,1,0,There are 347 students enrolled at GAGE PARK HS.  84.7% are Low Income Students.  18.7% are Diverse Learners.  39.2% are Limited English Learners.,The largest demographic at GAGE PARK HS is Hispanic.  This demographic makes up 68.9% of the student population.  The second greatest demographic is Black at 29.7%.,8:30AMAM - 3:26PM,8:30AMAM - 3:26PM,3:30PM-5:30PM,"Spanish, Spanish for Heritage Speakers",INTENSIVE SUPPORT,9/1/2004
610057,26701,FAIRFIELD,Fairfield Elementary Academy,FALSE,TRUE,TRUE,TRUE,"Fairfield provides a state-of-the-art computer lab and enjoys fruitful partnerships with Jenner and Block Law Offices, Urban Gateways, Within the Schools, SouthWest Organizing Project and St. Rita Parish. At Fairfield teachers make instructional decisions based on data and student results. We provide ample opportunities for students to be successful in school.",Principal,Claudia Lopez,6201 S FAIRFIELD AVE,Chicago,Illinois,60629,7735359500,7735350438,https://www.cps.edu/schools/schoolprofiles/610057,https://fairfieldacademy.org,"PK,K,1,2,3,4,5,6,7,8",470,393,65,280,73,394,1,0,0,0,0,2,0,0,There are 470 students enrolled at FAIRFIELD.  83.6% are Low Income Students.  13.8% are Diverse Learners.  59.6% are Limited English Learners.,The largest demographic at FAIRFIELD is Hispanic.  This demographic makes up 83.8% of the student population.  The second greatest demographic is Black at 15.5%.,7:45 AM-2:45 PM,N/A,3:00PM-4:00PM,Spanish,GOOD STANDING,9/1/2004
610006,23911,HURLEY,Edward N Hurley Elementary School,FALSE,TRUE,TRUE,TRUE,"<p>Hurley is a Fine and Performing Arts Magnet Cluster School. It offers a wide variety of academic programs including Chicago Math &amp; Science Academy, Comprehensive Gifted Program (CGP), fine arts enrichment, Science on the Go, Algebra classes, Mandarin language program, and violin classes for its students.</p>  <p>&nbsp;</p>",Principal,Angel Aguirre,3849 W 69TH PL,Chicago,Illinois,60629,7735352068,7735352059,https://www.cps.edu/schools/schoolprofiles/610006,http://hurley.cps.edu,"PK,K,1,2,3,4,5,6,7,8",703,548,96,348,8,683,5,0,7,0,0,0,0,0,There are 703 students enrolled at HURLEY.  78% are Low Income Students.  13.7% are Diverse Learners.  49.5% are Limited English Learners.,The largest demographic at HURLEY is Hispanic.  This demographic makes up 97.2% of the student population.  The second greatest demographic is Black at 1.1%.,08:00 AM-03:00 PM,N/A,3:00pm-5:45pm,"Mandarin,Spanish",GOOD STANDING,9/1/2004
610226,26721,SANDOVAL,Socorro Sandoval Elementary School,FALSE,FALSE,TRUE,TRUE,"At Sandoval we are committed to providing a safe, nurturing, and academically challenging environment that inspires and prepares all children to attain excellence.<br />  <br />  Our vision is to have every student engaged in a rigorous, well rounded instructional program that will lead to graduation and preparation for college, career, and life.",Principal,Wilma Milagros David,5534 S SAINT LOUIS AVE,Chicago,Illinois,60629,7735350457,7735350467,https://www.cps.edu/schools/schoolprofiles/610226,https://sandovalelementary.org,"PK,K,1,2,3,4,5",720,583,64,526,12,691,10,0,7,0,0,0,0,0,There are 720 students enrolled at SANDOVAL.  81% are Low Income Students.  8.9% are Diverse Learners.  73.1% are Limited English Learners.,The largest demographic at SANDOVAL is Hispanic.  This demographic makes up 96% of the student population.  The second greatest demographic is Black at 1.7%.,08:15 AM-03:15 PM,N/A,"3:30 PM- 5:00 PM, M-Th",Spanish,GOOD STANDING,9/1/2004
610067,24451,MCKAY,Francis M McKay Elementary School,FALSE,TRUE,TRUE,TRUE,"McKay is a community school that places a strong focus on reading, math, science, and writing. Early Childhood, PBIS, and AVID strategy supports are in place to help provide our students optimal learning opportunities in preparation for academic success and higher education. Technology is integrated into the curriculum across content areas.",Principal,Aundre L Hayes,6901 S FAIRFIELD AVE,Chicago,Illinois,60629,7735359340,7735359443,https://www.cps.edu/schools/schoolprofiles/610067,https://mckayschool.org,"PK,K,1,2,3,4,5,6,7,8",613,435,100,180,361,235,11,0,2,0,0,3,1,0,There are 613 students enrolled at MCKAY.  71% are Low Income Students.  16.3% are Diverse Learners.  29.4% are Limited English Learners.,The largest demographic at MCKAY is Black.  This demographic makes up 58.9% of the student population.  The second greatest demographic is Hispanic at 38.3%.,08:15 AM-03:15 PM,N/A,3:30 PM - 6:00 PM,n/a,GOOD STANDING,9/1/2004
609898,23041,EBERHART,John F Eberhart Elementary School,FALSE,TRUE,TRUE,TRUE,"<p>Eberhart School prepares ALL our students for success in college, career, and civic life. Our Dual Language Education Program produces students who are multilingual, multiliterate, and multicultural. Our learning community provides a rigorous, standards-based curriculum, with an emphasis on fine and performing arts, in a safe and engaging learning environment. Building upon our students&rsquo; linguistic and cultural capital improves students&rsquo; social-emotional confidence, narrows the achievement gap, and empowers responsible and productive global citizens.</p>  <p>Eberhart scholars are multilingual, multiliterate, and multicultural lifelong learners and problem solvers. They engage in rigorous, multilingual content and achieve at high academic levels, preparing them for participation in a global society. Eberhart scholars are confident, compassionate, collaborative citizens who make a positive impact on all levels of society.</p>",Principal,Nneka Hawanya Gunn,3400 W 65TH PL,Chicago,Illinois,60629,7735359190,7735359494,https://www.cps.edu/schools/schoolprofiles/609898,http://eberhart.cps.edu,"PK,K,1,2,3,4,5,6,7,8",1003,831,110,507,24,958,17,0,2,0,0,2,0,0,There are 1003 students enrolled at EBERHART.  82.9% are Low Income Students.  11% are Diverse Learners.  50.5% are Limited English Learners.,The largest demographic at EBERHART is Hispanic.  This demographic makes up 95.5% of the student population.  The second greatest demographic is Black at 2.4%.,08:30 AM-03:30 PM,N/A,3:30 PM-5:15 PM,Spanish,GOOD STANDING,9/1/2004
610117,24851,PASTEUR,Louis Pasteur Elementary School,FALSE,FALSE,TRUE,TRUE,"Pasteur School is a community school recognized for promoting excellence in learning for all students through the utilization of differentiated instruction and the integration of literature and writing across the curriculum. Partnerships include Ravinia, Museums, and Universities all of which enhance the educational experience of our students. Go Eagles!",Principal,Gerardo B Trujillo,5825 S KOSTNER AVE,Chicago,Illinois,60629,7735352270,7735352235,https://www.cps.edu/schools/schoolprofiles/610117,https://pasteurschool.org,"PK,K,1,2,3,4",627,437,107,231,15,596,9,1,2,0,0,4,0,0,There are 627 students enrolled at PASTEUR.  69.7% are Low Income Students.  17.1% are Diverse Learners.  36.8% are Limited English Learners.,The largest demographic at PASTEUR is Hispanic.  This demographic makes up 95.1% of the student population.  The second greatest demographic is Black at 2.4%.,8:15 AM-3:15 PM Main,N/A,N/A,Spanish,GOOD STANDING,9/1/2004
610203,25631,MONARCAS,Monarcas Academy,FALSE,FALSE,TRUE,TRUE,"<p>Monarcas Academy takes the academic success of every student seriously. We engage our students in high-level research during reading, science, and math. We focus on creating lifelong learners who enjoy reading for learning and for pleasure. Monarcas School partners with parents and community organizations to ensure a nourishing, healthy, and safe school environment.</p>",Principal,Gerardo Arriaga,5815 S HOMAN AVE,Chicago,Illinois,60629,7735359280,7735350470,https://www.cps.edu/schools/schoolprofiles/610203,https://tontischool.com,"PK,K,1,2,3,4,5",802,592,125,431,17,766,13,0,4,0,0,0,0,2,There are 802 students enrolled at MONARCAS.  73.8% are Low Income Students.  15.6% are Diverse Learners.  53.7% are Limited English Learners.,The largest demographic at MONARCAS is Hispanic.  This demographic makes up 95.5% of the student population.  The second greatest demographic is Black at 2.1%.,08:00 AM-03:00 PM,N/A,3:00 p.m. - 5:30 p.m.,Spanish,GOOD STANDING,9/1/2004
610291,26331,LEE,Richard Henry Lee Elementary School,FALSE,TRUE,TRUE,FALSE,Richard Henry Lee elementary first opened its doors in the West Lawn neighborhood in 1949. There has been much growth and many program changes since then. We are now a Level 1 school offering students personalized learning experiences and various before and after school opportunities through our partnership with CPS Community Schools Initiative.&nbsp;,Principal,Lisa Ann Epstein,6448 S TRIPP AVE,Chicago,Illinois,60629,7735352255,7735352287,https://www.cps.edu/schools/schoolprofiles/610291,https://leelions.org,"K,1,2,3,4,5,6,7,8",578,483,96,159,9,566,3,0,0,0,0,0,0,0,There are 578 students enrolled at LEE.  83.6% are Low Income Students.  16.6% are Diverse Learners.  27.5% are Limited English Learners.,The largest demographic at LEE is Hispanic.  This demographic makes up 97.9% of the student population.  The second greatest demographic is Black at 1.6%.,08:15 AM-03:15 PM,N/A,N/A,N/A,GOOD STANDING,9/1/2004
