Age Group,60629 Value,60629 Error,60636 Value,60636 Error,60652 Value,60652 Error
Total,108997,4538,29833,1713,42223,2613
Male,53890,2884,14337,1039,20841,1931
Under 5 years,3393,542,973,313,833,260
5 to 9 years,3601,1018,872,286,1176,263
10 to 14 years,4733,826,1382,438,2378,331
15 to 17 years,2537,452,452,130,1169,247
18 and 19 years,2057,386,349,56,832,237
20 years,800,36,326,126,163,162
21 years,1161,49,420,126,312,169
22 to 24 years,2359,442,467,442,487,312
25 to 29 years,4124,909,690,929,1487,357
30 to 34 years,3667,695,599,1235,3317,317
35 to 39 years,4701,765,665,745,1183,282
40 to 44 years,3788,744,547,790,1121,312
45 to 49 years,3452,440,440,511,1524,302
50 to 54 years,2624,446,342,511,1729,316
55 to 59 years,785,190,190,511,608,238
60 and 61 years,1307,270,506,511,1208,478
62 to 64 years,817,243,342,511,296,193
65 and 66 years,807,223,307,511,149,149
67 to 69 years,1749,366,220,511,647,242
70 to 74 years,1862,283,520,511,646,233
75 to 79 years,653,240,283,511,424,146
80 to 84 years,490,166,292,511,352,352
85 years and over,55107,2383,15496,511,21742,1290
