PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE
,,,
ABBOTT (ROBERT),259,PLAYGROUND,OUTDOOR
,,,
ABBOTT (ROBERT),259,SENIOR CENTER,INDOOR
,,,
ABBOTT (ROBERT),259,SPRAY FEATURE,OUTDOOR
,,,
ABBOTT (ROBERT),259,SPRAY FEATURE,OUTDOOR
,,,
ABBOTT (ROBERT),259,BASEBALL SR,OUTDOOR
,,,
ABBOTT (ROBERT),259,BASEBALL SR,OUTDOOR
,,,
ABBOTT (ROBERT),259,TENNIS COURT,OUTDOOR
,,,
ABBOTT (ROBERT),259,TENNIS COURT,OUTDOOR
,,,
ABBOTT (ROBERT),259,TRACK,OUTDOOR
,,,
ABBOTT (ROBERT),259,VOLLEYBALL,OUTDOOR
,,,
ADA (SAWYER GARRETT),45,BASKETBALL COURT,OUTDOOR
,,,
ADA (SAWYER GARRETT),45,BASKETBALL COURT,OUTDOOR
,,,
ADA (SAWYER GARRETT),45,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
ADA (SAWYER GARRETT),45,FITNESS CENTER,INDOOR
,,,
ADA (SAWYER GARRETT),45,GYMNASIUM,INDOOR
,,,
ADA (SAWYER GARRETT),45,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ADA (SAWYER GARRETT),45,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ADA (SAWYER GARRETT),45,POOL (OUTDOOR),OUTDOOR
,,,
ADA (SAWYER GARRETT),45,PLAYGROUND,OUTDOOR
,,,
ADA (SAWYER GARRETT),45,SPRAY FEATURE,OUTDOOR
,,,
ADA (SAWYER GARRETT),45,BASEBALL SR,OUTDOOR
,,,
ADA (SAWYER GARRETT),45,BASEBALL SR,OUTDOOR
,,,
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR
,,,
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR
,,,
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR
,,,
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR
,,,
ADAMS (GEORGE & ADELE),1019,PLAYGROUND,OUTDOOR
,,,
ADAMS (GEORGE & ADELE),1019,WATER PLAYGROUND,OUTDOOR
,,,
AIELLO (JOHN),1280,PLAYGROUND PARK,OUTDOOR
,,,
ALGONQUIN,1161,PLAYGROUND PARK,OUTDOOR
,,,
ALTGELD (JOHN),206,BASKETBALL COURT,OUTDOOR
,,,
ALTGELD (JOHN),206,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
ALTGELD (JOHN),206,FITNESS CENTER,INDOOR
,,,
ALTGELD (JOHN),206,GYMNASIUM,INDOOR
,,,
ALTGELD (JOHN),206,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ALTGELD (JOHN),206,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ALTGELD (JOHN),206,POOL (OUTDOOR),OUTDOOR
,,,
ALTGELD (JOHN),206,PLAYGROUND,OUTDOOR
,,,
ALTGELD (JOHN),206,BASEBALL SR,OUTDOOR
,,,
AMUNDSEN (ROALD),129,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
AMUNDSEN (ROALD),129,FITNESS CENTER,INDOOR
,,,
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
AMUNDSEN (ROALD),129,PLAYGROUND,OUTDOOR
,,,
AMUNDSEN (ROALD),129,SPRAY FEATURE,OUTDOOR
,,,
AMUNDSEN (ROALD),129,BASEBALL SR,OUTDOOR
,,,
ANDERSON (LOUIS),1020,BASKETBALL COURT,OUTDOOR
,,,
ANDERSON (LOUIS),1020,BASKETBALL COURT,OUTDOOR
,,,
ANDERSON (LOUIS),1020,GYMNASIUM,INDOOR
,,,
ANDERSON (LOUIS),1020,PLAYGROUND,OUTDOOR
,,,
ANDERSON (LOUIS),1020,SPRAY FEATURE,OUTDOOR
,,,
ANDERSONVILLE,1078,PLAYGROUND PARK,OUTDOOR
,,,
ARCHER (WILLIAM BEATTY),250,BASEBALL SR,OUTDOOR
,,,
ARCHER (WILLIAM BEATTY),250,BASKETBALL COURT,OUTDOOR
,,,
ARCHER (WILLIAM BEATTY),250,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
ARCHER (WILLIAM BEATTY),250,FITNESS CENTER,INDOOR
,,,
ARCHER (WILLIAM BEATTY),250,GYMNASIUM,INDOOR
,,,
ARCHER (WILLIAM BEATTY),250,HORSESHOE COURT,OUTDOOR
,,,
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ARCHER (WILLIAM BEATTY),250,PLAYGROUND,OUTDOOR
,,,
ARCHER (WILLIAM BEATTY),250,SPRAY FEATURE,OUTDOOR
,,,
ARCHER (WILLIAM BEATTY),250,BASEBALL SR,OUTDOOR
,,,
ARCHER (WILLIAM BEATTY),250,TENNIS COURT,OUTDOOR
,,,
ARCHER (WILLIAM BEATTY),250,ARTIFICIAL TURF FIELD,OUTDOOR
,,,
ARCHER (WILLIAM BEATTY),250,WATER PLAYGROUND,OUTDOOR
,,,
ARMOUR (PHILIP) SQUARE,3,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
ARMOUR (PHILIP) SQUARE,3,FITNESS CENTER,INDOOR
,,,
ARMOUR (PHILIP) SQUARE,3,GYMNASIUM,INDOOR
,,,
ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ARMOUR (PHILIP) SQUARE,3,POOL (OUTDOOR),OUTDOOR
,,,
ARMOUR (PHILIP) SQUARE,3,PLAYGROUND,OUTDOOR
,,,
ARMOUR (PHILIP) SQUARE,3,VOLLEYBALL (SAND),OUTDOOR
,,,
ARMOUR (PHILIP) SQUARE,3,SPRAY FEATURE,OUTDOOR
,,,
ARMOUR (PHILIP) SQUARE,3,BASEBALL SR,OUTDOOR
,,,
ARMOUR (PHILIP) SQUARE,3,TENNIS COURT,OUTDOOR
,,,
ARMOUR (PHILIP) SQUARE,3,TENNIS COURT,OUTDOOR
,,,
ARMOUR (PHILIP) SQUARE,3,VOLLEYBALL,OUTDOOR
,,,
ARMSTRONG (LILLIAN HARDIN),492,BASKETBALL COURT,OUTDOOR
,,,
ARMSTRONG (LILLIAN HARDIN),492,BASKETBALL COURT,OUTDOOR
,,,
ARMSTRONG (LILLIAN HARDIN),492,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
ARMSTRONG (LILLIAN HARDIN),492,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ARMSTRONG (LILLIAN HARDIN),492,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ARMSTRONG (LILLIAN HARDIN),492,PLAYGROUND,OUTDOOR
,,,
ARRIGO (VICTOR),215,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
ASHE (ARTHUR) BEACH,459,BEACH,OUTDOOR
,,,
ASHE (ARTHUR) BEACH,459,PLAYGROUND,OUTDOOR
,,,
ASHE (ARTHUR) BEACH,459,TENNIS COURT,OUTDOOR
,,,
ASHE (ARTHUR) BEACH,459,TENNIS COURT,OUTDOOR
,,,
ASHMORE,427,PLAYGROUND PARK,OUTDOOR
,,,
ASPEN,321,PLAYGROUND PARK,OUTDOOR
,,,
ASTER,343,PLAYGROUND PARK,OUTDOOR
,,,
ATHLETIC FIELD,80,BASKETBALL COURT,OUTDOOR
,,,
ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
ATHLETIC FIELD,80,PLAYGROUND,OUTDOOR
,,,
ATHLETIC FIELD,80,TENNIS COURT,OUTDOOR
,,,
ATHLETIC FIELD,80,TENNIS COURT,OUTDOOR
,,,
AUGUSTA (CARPENTER),1021,PLAYGROUND,OUTDOOR
,,,
AUSTIN (HENRY),1204,PLAYGROUND,OUTDOOR
,,,
AUSTIN (HENRY),1204,SPRAY FEATURE,OUTDOOR
,,,
AUSTIN (HENRY),1204,WATER PLAYGROUND,OUTDOOR
,,,
AUSTIN FOSTER,285,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
AUSTIN FOSTER,285,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
AUSTIN FOSTER,285,PLAYGROUND,OUTDOOR
,,,
